merchant_id,merchant_name,category,city,status,merchant_size,created_at
M000097,Travel Merchant 00097,Travel,Medan,ACTIVE,SMALL,2025-10-26 03:17:51
M000098,Entertainment Merchant 00098,Entertainment,Semarang,SUSPENDED,SMALL,2024-05-31 12:04:18
M000099,Retail Merchant 00099,Retail,Tangerang,ACTIVE,LARGE,2024-12-26 03:28:53
M000100,Education Merchant 00100,Education,Denpasar,ACTIVE,SMALL,2022-04-29 19:17:51
M000101,Entertainment Merchant 00101,Entertainment,Surabaya,ACTIVE,SMALL,2026-02-27 14:34:20
M000102,Food & Beverage Merchant 00102,Food & Beverage,Palembang,ACTIVE,SMALL,2022-07-23 00:00:55
M000103,Food & Beverage Merchant 00103,Food & Beverage,Yogyakarta,ACTIVE,SMALL,2023-08-21 08:32:17
M000104,Entertainment Merchant 00104,Entertainment,Semarang,ACTIVE,MEDIUM,2023-10-11 02:03:33
M000105,Fashion Merchant 00105,Fashion,Bandung,ACTIVE,SMALL,2023-09-14 01:43:28
M000106,Electronics Merchant 00106,Electronics,Semarang,ACTIVE,SMALL,2022-03-02 05:54:10
M000107,Healthcare Merchant 00107,Healthcare,Denpasar,ACTIVE,SMALL,2023-06-04 02:16:00
M000108,Entertainment Merchant 00108,Entertainment,Surabaya,ACTIVE,SMALL,2024-12-10 13:25:18
M000109,Fashion Merchant 00109,Fashion,Medan,ACTIVE,SMALL,2023-12-13 16:47:29
M000110,Transportation Merchant 00110,Transportation,Semarang,ACTIVE,MEDIUM,2024-11-14 22:11:44
M000111,Groceries Merchant 00111,Groceries,Semarang,ACTIVE,SMALL,2025-11-18 13:05:51
M000112,Education Merchant 00112,Education,Palembang,ACTIVE,SMALL,2026-06-09 11:24:40
M000113,Transportation Merchant 00113,Transportation,Surabaya,ACTIVE,MEDIUM,2026-05-03 13:43:35
M000114,Healthcare Merchant 00114,Healthcare,Medan,INACTIVE,SMALL,2023-05-17 04:32:46
M000115,Food & Beverage Merchant 00115,Food & Beverage,Surabaya,ACTIVE,SMALL,2024-11-11 22:12:22
M000116,Fashion Merchant 00116,Fashion,Denpasar,ACTIVE,MEDIUM,2023-07-20 07:01:04
M000117,Education Merchant 00117,Education,Tangerang,ACTIVE,SMALL,2024-03-23 15:09:10
M000118,Transportation Merchant 00118,Transportation,Medan,ACTIVE,SMALL,2022-01-23 18:31:40
M000119,Entertainment Merchant 00119,Entertainment,Denpasar,ACTIVE,LARGE,2026-05-28 19:37:56
M000120,Transportation Merchant 00120,Transportation,Denpasar,ACTIVE,SMALL,2022-12-10 21:09:45
M000121,Healthcare Merchant 00121,Healthcare,Palembang,ACTIVE,MEDIUM,2022-01-30 12:56:07
M000122,Fashion Merchant 00122,Fashion,Makassar,ACTIVE,SMALL,2026-03-16 03:19:15
M000123,Groceries Merchant 00123,Groceries,Surabaya,ACTIVE,MEDIUM,2023-03-13 03:48:58
M000124,Groceries Merchant 00124,Groceries,Jakarta,ACTIVE,MEDIUM,2022-09-14 08:09:02
M000125,Entertainment Merchant 00125,Entertainment,Jakarta,ACTIVE,SMALL,2022-04-15 05:37:06
M000126,Transportation Merchant 00126,Transportation,Semarang,ACTIVE,MEDIUM,2023-04-12 23:31:03
M000127,Food & Beverage Merchant 00127,Food & Beverage,Medan,ACTIVE,SMALL,2023-02-17 18:47:35
M000128,Electronics Merchant 00128,Electronics,Denpasar,ACTIVE,MEDIUM,2023-12-04 10:44:44
M000129,Electronics Merchant 00129,Electronics,Semarang,ACTIVE,SMALL,2023-10-17 23:23:31
M000130,Transportation Merchant 00130,Transportation,Makassar,ACTIVE,MEDIUM,2025-03-04 16:03:50
M000131,Food & Beverage Merchant 00131,Food & Beverage,Surabaya,ACTIVE,MEDIUM,2022-04-13 03:46:36
M000132,Healthcare Merchant 00132,Healthcare,Yogyakarta,ACTIVE,LARGE,2022-10-29 07:05:28
M000133,Electronics Merchant 00133,Electronics,Medan,INACTIVE,SMALL,2024-01-16 07:00:22
M000134,Education Merchant 00134,Education,Yogyakarta,ACTIVE,MEDIUM,2025-06-05 19:50:48
M000135,Transportation Merchant 00135,Transportation,Yogyakarta,ACTIVE,SMALL,2024-05-19 09:05:10
M000136,Electronics Merchant 00136,Electronics,Yogyakarta,ACTIVE,SMALL,2024-11-18 16:53:39
M000137,Travel Merchant 00137,Travel,Bandung,ACTIVE,SMALL,2024-08-03 02:31:16
M000138,Electronics Merchant 00138,Electronics,Makassar,INACTIVE,SMALL,2026-01-30 03:55:14
M000139,Transportation Merchant 00139,Transportation,Semarang,ACTIVE,SMALL,2022-12-21 20:19:46
M000140,Healthcare Merchant 00140,Healthcare,Makassar,ACTIVE,SMALL,2024-07-01 16:06:32
M000141,Groceries Merchant 00141,Groceries,Tangerang,ACTIVE,MEDIUM,2024-02-09 08:36:28
M000142,Fashion Merchant 00142,Fashion,Denpasar,ACTIVE,SMALL,2025-04-26 07:10:31
M000143,Fashion Merchant 00143,Fashion,Makassar,ACTIVE,SMALL,2023-08-13 23:12:02
M000144,Groceries Merchant 00144,Groceries,Palembang,ACTIVE,SMALL,2024-08-26 03:33:30
M000145,Retail Merchant 00145,Retail,Palembang,ACTIVE,SMALL,2023-10-12 07:27:11
M000146,Education Merchant 00146,Education,Bandung,ACTIVE,SMALL,2026-06-21 04:38:02
M000147,Education Merchant 00147,Education,Yogyakarta,ACTIVE,SMALL,2025-05-20 04:19:51
M000148,Transportation Merchant 00148,Transportation,Semarang,ACTIVE,SMALL,2023-12-15 06:40:53
M000149,Electronics Merchant 00149,Electronics,Jakarta,ACTIVE,SMALL,2023-07-29 01:34:24
M000150,Retail Merchant 00150,Retail,Makassar,ACTIVE,SMALL,2022-09-11 21:03:13
M000151,Retail Merchant 00151,Retail,Yogyakarta,ACTIVE,MEDIUM,2024-03-17 12:28:00
M000152,Groceries Merchant 00152,Groceries,Semarang,INACTIVE,SMALL,2026-05-06 12:40:49
M000153,Fashion Merchant 00153,Fashion,Jakarta,ACTIVE,SMALL,2025-12-13 18:57:49
M000154,Entertainment Merchant 00154,Entertainment,Tangerang,ACTIVE,SMALL,2025-01-11 19:06:31
M000155,Retail Merchant 00155,Retail,Semarang,INACTIVE,SMALL,2022-12-20 14:46:28
M000156,Education Merchant 00156,Education,Makassar,ACTIVE,SMALL,2022-04-09 04:51:10
M000157,Fashion Merchant 00157,Fashion,Yogyakarta,ACTIVE,SMALL,2024-04-19 16:27:44
M000158,Retail Merchant 00158,Retail,Surabaya,ACTIVE,SMALL,2025-01-02 20:55:28
M000159,Fashion Merchant 00159,Fashion,Semarang,ACTIVE,SMALL,2025-08-10 13:05:29
M000160,Fashion Merchant 00160,Fashion,Makassar,ACTIVE,MEDIUM,2022-02-24 13:24:30
M000161,Healthcare Merchant 00161,Healthcare,Bandung,ACTIVE,SMALL,2023-12-03 01:19:25
M000162,Electronics Merchant 00162,Electronics,Medan,ACTIVE,SMALL,2023-09-15 07:48:03
M000163,Healthcare Merchant 00163,Healthcare,Yogyakarta,ACTIVE,MEDIUM,2024-03-20 23:17:01
M000164,Travel Merchant 00164,Travel,Medan,INACTIVE,SMALL,2023-05-26 08:32:22
M000165,Entertainment Merchant 00165,Entertainment,Tangerang,ACTIVE,SMALL,2023-11-18 17:08:06
M000166,Education Merchant 00166,Education,Makassar,ACTIVE,SMALL,2024-10-07 09:07:07
M000167,Healthcare Merchant 00167,Healthcare,Palembang,ACTIVE,MEDIUM,2022-12-04 09:22:38
M000168,Groceries Merchant 00168,Groceries,Medan,ACTIVE,SMALL,2023-04-22 23:49:17
M000169,Travel Merchant 00169,Travel,Semarang,ACTIVE,SMALL,2022-06-13 18:37:30
M000170,Education Merchant 00170,Education,Jakarta,ACTIVE,MEDIUM,2026-02-21 20:46:00
M000171,Travel Merchant 00171,Travel,Yogyakarta,ACTIVE,SMALL,2024-11-29 00:01:07
M000172,Education Merchant 00172,Education,Makassar,ACTIVE,MEDIUM,2025-10-22 05:48:01
M000173,Retail Merchant 00173,Retail,Surabaya,ACTIVE,MEDIUM,2025-09-06 11:49:23
M000174,Travel Merchant 00174,Travel,Palembang,ACTIVE,MEDIUM,2024-04-28 16:23:04
M000175,Transportation Merchant 00175,Transportation,Semarang,ACTIVE,MEDIUM,2023-11-10 19:33:00
M000176,Retail Merchant 00176,Retail,Semarang,ACTIVE,SMALL,2024-03-13 07:52:32
M000177,Fashion Merchant 00177,Fashion,Tangerang,ACTIVE,MEDIUM,2025-04-01 11:51:29
M000178,Travel Merchant 00178,Travel,Medan,ACTIVE,SMALL,2025-04-09 11:21:34
M000179,Travel Merchant 00179,Travel,Surabaya,ACTIVE,SMALL,2026-05-02 04:24:45
M000180,Groceries Merchant 00180,Groceries,Tangerang,ACTIVE,SMALL,2025-02-28 14:28:25
M000181,Entertainment Merchant 00181,Entertainment,Tangerang,ACTIVE,SMALL,2022-11-10 13:16:18
M000182,Fashion Merchant 00182,Fashion,Medan,ACTIVE,MEDIUM,2023-11-27 02:12:27
M000183,Groceries Merchant 00183,Groceries,Tangerang,ACTIVE,SMALL,2024-11-18 17:37:07
M000184,Electronics Merchant 00184,Electronics,Medan,ACTIVE,SMALL,2022-05-29 04:13:01
M000185,Retail Merchant 00185,Retail,Yogyakarta,ACTIVE,SMALL,2022-09-19 02:51:23
M000186,Education Merchant 00186,Education,Denpasar,ACTIVE,SMALL,2026-05-19 01:29:10
M000187,Entertainment Merchant 00187,Entertainment,Denpasar,ACTIVE,SMALL,2024-03-30 23:48:29
M000188,Education Merchant 00188,Education,Palembang,ACTIVE,SMALL,2026-06-17 13:07:57
M000189,Transportation Merchant 00189,Transportation,Surabaya,ACTIVE,SMALL,2025-10-31 08:20:12
M000190,Fashion Merchant 00190,Fashion,Bandung,INACTIVE,MEDIUM,2022-01-11 02:10:55
M000191,Retail Merchant 00191,Retail,Bandung,ACTIVE,SMALL,2026-07-11 12:59:02
M000192,Travel Merchant 00192,Travel,Semarang,ACTIVE,SMALL,2025-06-08 22:45:32
M000193,Retail Merchant 00193,Retail,Palembang,ACTIVE,SMALL,2024-02-19 21:11:02
M000194,Education Merchant 00194,Education,Tangerang,ACTIVE,MEDIUM,2023-03-21 12:56:21
M000195,Retail Merchant 00195,Retail,Palembang,ACTIVE,LARGE,2026-03-28 13:35:56
M000196,Food & Beverage Merchant 00196,Food & Beverage,Bandung,ACTIVE,SMALL,2025-12-21 17:26:34
M000197,Transportation Merchant 00197,Transportation,Tangerang,INACTIVE,SMALL,2024-12-01 03:33:25
M000198,Entertainment Merchant 00198,Entertainment,Jakarta,ACTIVE,SMALL,2025-12-07 07:46:46
M000199,Entertainment Merchant 00199,Entertainment,Bandung,ACTIVE,SMALL,2024-12-25 17:09:34
M000200,Travel Merchant 00200,Travel,Tangerang,ACTIVE,SMALL,2022-07-20 15:56:42
M000201,Travel Merchant 00201,Travel,Palembang,SUSPENDED,SMALL,2024-07-18 16:15:35
M000202,Retail Merchant 00202,Retail,Bandung,ACTIVE,SMALL,2024-09-16 04:12:48
M000203,Entertainment Merchant 00203,Entertainment,Surabaya,ACTIVE,SMALL,2026-02-03 12:41:10
M000204,Retail Merchant 00204,Retail,Semarang,INACTIVE,SMALL,2025-04-28 04:01:11
M000205,Groceries Merchant 00205,Groceries,Denpasar,ACTIVE,SMALL,2023-02-12 02:43:39
M000206,Food & Beverage Merchant 00206,Food & Beverage,Semarang,SUSPENDED,SMALL,2024-08-22 01:19:47
M000207,Retail Merchant 00207,Retail,Surabaya,ACTIVE,SMALL,2025-01-16 21:03:00
M000208,Electronics Merchant 00208,Electronics,Makassar,ACTIVE,SMALL,2023-06-02 02:31:58
M000209,Travel Merchant 00209,Travel,Medan,ACTIVE,SMALL,2026-04-07 22:50:19
M000210,Food & Beverage Merchant 00210,Food & Beverage,Palembang,INACTIVE,MEDIUM,2025-11-30 18:38:43
M000211,Food & Beverage Merchant 00211,Food & Beverage,Medan,ACTIVE,SMALL,2022-12-25 03:16:37
M000212,Fashion Merchant 00212,Fashion,Semarang,ACTIVE,SMALL,2024-12-09 22:26:51
M000213,Retail Merchant 00213,Retail,Palembang,ACTIVE,MEDIUM,2023-11-27 06:14:44
M000214,Food & Beverage Merchant 00214,Food & Beverage,Jakarta,ACTIVE,MEDIUM,2022-12-29 04:47:47
M000215,Travel Merchant 00215,Travel,Surabaya,ACTIVE,SMALL,2024-08-25 10:48:03
M000216,Education Merchant 00216,Education,Jakarta,ACTIVE,SMALL,2024-03-03 22:25:08
M000217,Groceries Merchant 00217,Groceries,Palembang,INACTIVE,SMALL,2023-01-10 10:26:14
M000218,Entertainment Merchant 00218,Entertainment,Tangerang,ACTIVE,SMALL,2025-01-19 15:48:01
M000219,Groceries Merchant 00219,Groceries,Yogyakarta,ACTIVE,MEDIUM,2025-11-22 14:48:13
M000220,Retail Merchant 00220,Retail,Makassar,ACTIVE,MEDIUM,2023-12-10 06:46:10
M000221,Electronics Merchant 00221,Electronics,Bandung,ACTIVE,SMALL,2022-06-13 09:09:19
M000222,Electronics Merchant 00222,Electronics,Yogyakarta,ACTIVE,SMALL,2022-01-25 11:34:30
M000223,Fashion Merchant 00223,Fashion,Jakarta,INACTIVE,SMALL,2025-09-21 02:53:45
M000224,Groceries Merchant 00224,Groceries,Tangerang,ACTIVE,SMALL,2024-04-14 08:52:52
M000225,Fashion Merchant 00225,Fashion,Tangerang,ACTIVE,SMALL,2025-01-20 11:32:47
M000226,Transportation Merchant 00226,Transportation,Makassar,ACTIVE,SMALL,2022-02-27 08:01:39
M000227,Food & Beverage Merchant 00227,Food & Beverage,Yogyakarta,ACTIVE,MEDIUM,2024-05-15 21:19:31
M000228,Groceries Merchant 00228,Groceries,Palembang,ACTIVE,SMALL,2024-04-21 12:47:23
M000229,Transportation Merchant 00229,Transportation,Makassar,INACTIVE,SMALL,2023-05-09 05:08:49
M000230,Entertainment Merchant 00230,Entertainment,Palembang,ACTIVE,SMALL,2026-04-06 02:08:59
M000231,Fashion Merchant 00231,Fashion,Yogyakarta,ACTIVE,SMALL,2026-04-11 22:06:26
M000232,Electronics Merchant 00232,Electronics,Yogyakarta,ACTIVE,SMALL,2022-09-02 12:03:06
M000233,Electronics Merchant 00233,Electronics,Semarang,INACTIVE,SMALL,2024-05-27 22:35:01
M000234,Groceries Merchant 00234,Groceries,Bandung,ACTIVE,MEDIUM,2022-08-24 16:50:04
M000235,Transportation Merchant 00235,Transportation,Semarang,ACTIVE,MEDIUM,2023-04-07 17:33:39
M000236,Food & Beverage Merchant 00236,Food & Beverage,Makassar,ACTIVE,SMALL,2025-03-25 07:26:15
M000237,Fashion Merchant 00237,Fashion,Jakarta,ACTIVE,MEDIUM,2023-09-27 13:19:55
M000238,Groceries Merchant 00238,Groceries,Denpasar,ACTIVE,MEDIUM,2025-05-02 12:23:22
M000239,Transportation Merchant 00239,Transportation,Makassar,ACTIVE,MEDIUM,2023-03-21 21:32:42
M000240,Education Merchant 00240,Education,Semarang,ACTIVE,SMALL,2023-03-09 14:15:50
M000241,Education Merchant 00241,Education,Bandung,ACTIVE,SMALL,2023-10-14 15:20:28
M000242,Transportation Merchant 00242,Transportation,Palembang,SUSPENDED,SMALL,2022-12-11 12:12:44
M000243,Fashion Merchant 00243,Fashion,Jakarta,ACTIVE,SMALL,2026-07-17 04:08:51
M000244,Fashion Merchant 00244,Fashion,Bandung,ACTIVE,SMALL,2024-09-22 05:04:01
M000245,Groceries Merchant 00245,Groceries,Tangerang,ACTIVE,SMALL,2025-09-05 14:01:04
M000246,Entertainment Merchant 00246,Entertainment,Denpasar,ACTIVE,SMALL,2026-04-24 21:46:52
M000247,Entertainment Merchant 00247,Entertainment,Palembang,SUSPENDED,SMALL,2025-03-07 03:18:33
M000248,Food & Beverage Merchant 00248,Food & Beverage,Jakarta,ACTIVE,SMALL,2026-03-12 08:15:34
M000249,Entertainment Merchant 00249,Entertainment,Yogyakarta,INACTIVE,SMALL,2025-08-30 22:14:38
M000250,Entertainment Merchant 00250,Entertainment,Yogyakarta,ACTIVE,SMALL,2023-01-02 04:18:41
M000251,Electronics Merchant 00251,Electronics,Medan,INACTIVE,SMALL,2024-05-18 12:17:32
M000252,Healthcare Merchant 00252,Healthcare,Yogyakarta,ACTIVE,SMALL,2026-05-12 09:15:54
M000253,Retail Merchant 00253,Retail,Yogyakarta,ACTIVE,MEDIUM,2022-05-18 03:34:19
M000254,Electronics Merchant 00254,Electronics,Makassar,SUSPENDED,MEDIUM,2025-08-06 08:01:18
M000255,Fashion Merchant 00255,Fashion,Denpasar,ACTIVE,SMALL,2025-07-09 04:39:52
M000256,Travel Merchant 00256,Travel,Makassar,ACTIVE,SMALL,2026-06-25 10:47:30
M000257,Groceries Merchant 00257,Groceries,Semarang,INACTIVE,MEDIUM,2023-12-19 02:53:53
M000258,Healthcare Merchant 00258,Healthcare,Medan,ACTIVE,SMALL,2025-10-31 17:02:56
M000259,Food & Beverage Merchant 00259,Food & Beverage,Medan,ACTIVE,SMALL,2023-10-13 00:08:20
M000260,Retail Merchant 00260,Retail,Tangerang,ACTIVE,SMALL,2025-04-28 23:40:28
M000261,Groceries Merchant 00261,Groceries,Yogyakarta,ACTIVE,SMALL,2023-10-10 22:14:41
M000262,Transportation Merchant 00262,Transportation,Palembang,ACTIVE,SMALL,2022-03-09 01:59:58
M000263,Retail Merchant 00263,Retail,Makassar,ACTIVE,SMALL,2025-05-18 16:13:45
M000264,Entertainment Merchant 00264,Entertainment,Surabaya,ACTIVE,SMALL,2025-09-23 23:59:01
M000265,Education Merchant 00265,Education,Palembang,ACTIVE,SMALL,2023-08-12 01:01:01
M000266,Fashion Merchant 00266,Fashion,Palembang,INACTIVE,SMALL,2023-09-13 10:35:12
M000267,Transportation Merchant 00267,Transportation,Denpasar,ACTIVE,SMALL,2022-01-27 13:35:52
